week,mean,ci95_half_width,n
12,2.32747652078206,0.1868725439227996,55
13,2.894554536793437,0.21043376964406393,55
14,3.8542487622629453,0.2116803441004307,55
15,4.119920563083597,0.1750530704922554,55
16,4.891666015269565,0.17464233072898386,55
17,5.2802873195763205,0.19414488758259338,55
18,5.975154142135417,0.16485372617137586,55
19,6.735546482235518,0.20092355236911733,55
20,7.157687396961004,0.19941131428935,55
21,7.60633472468868,0.19913540210235284,55
22,8.359275833326835,0.22621540128025025,55
23,8.96588067351579,0.2060091505977311,55
24,9.251865957026592,0.23502558823273118,55
